,Last Recipe,Number of Recipes: 60,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Rating,Recipes,Ingredients,Serving Size,Unit,"Database
Units",Calories,Fat,Carbs,Protein,Fiber,Cost,Comments
Dinner,,Chicken and Mushrooms in a Galic White Wine Sauce,,4,Whole,,424.8,19.0,39.4,20.1,1.0,$4.93,https://www.copymethat.com/r/F7ohSAnUF/chicken-and-mushrooms-in-a-garlic-white-/
,,,"Chicken, Breasts, Raw, Fat Removed",16,Gram,Gram,17.6,0.2,0.0,3.7,0.0,$0.12,
,,,Butter,2,Teaspoon,Milliliter,67.0,7.9,0.0,0.0,0.0,$0.06,
,,,"Oils, Olive",2,Teaspoon,Milliliter,79.5,9.2,0.0,0.0,0.0,$0.19,
,,,"Wheat flour, all purpose",0.25,Cup,Milliliter,113.6,0.5,23.7,3.3,0.9,$0.03,
,,,"Garlic, Clove",3,Whole,Whole,13.5,0.0,3.0,0.6,0.0,$0.30,
,,,"Wine, table, white",0.25,Cup,Milliliter,40.2,0.0,0.5,0.0,0.0,$0.32,
,,,"Chicken broth, Condensed, prepared with water",0.3,Cup,Milliliter,11.6,0.3,0.3,1.4,0.0,$0.03,
,,,"Spice, Salt",0.125,Teaspoon,Teaspoon,0.0,0.0,0.0,0.0,0.0,$0.00,
,,,"Spice, Pepper",0.125,Teaspoon,Teaspoon,0.0,0.0,0.0,0.0,0.0,$0.01,
,,,"Parsley, Fresh",0.25,Cup,Tablespoon,4.0,0.0,0.8,0.4,0.0,$0.12,
,,,"Mushroom, Raw, Weight",12,Ounce (wt),Gram,77.8,1.0,11.2,10.7,0.0,$3.74,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Dinner,,Chicken Carbonara,,6,Whole,,5673.8,348.9,205.2,361.6,232.3,$21.59,https://www.copymethat.com/r/4gSctbsTd/chicken-carbonara/
,,,"Oils, Olive",2,Teaspoon,Milliliter,79.5,9.2,0.0,0.0,0.0,$0.19,
,,,"Pancetta, Boar's Head",4,Ounce (wt),Ounce (wt),440.0,36.0,4.0,16.0,0.0,$5.00,
,,,"Garlic, Minced",2,Teaspoon,Teaspoon,8.4,0.0,1.8,0.4,0.0,$0.14,
,,,"Whipping cream, 35% M.F., not whipped",2.5,Cup,Milliliter,1971.6,197.2,39.4,0.0,197.2,$3.15,
,,,"Cheese, Parmesan, grated",1,Cup,Milliliter,425.9,17.3,0.0,31.5,31.5,$1.42,
